"index";"jogoMiolosDesigner"
1726;"Wolfgang Dirscherl"
1727;"Andy Chambers"
1730;"Reinhard Staupe"
1731;"Andrew Doull"
1739;"Volker Schächtele"
1744;"Jeff Alexander"
1745;"Wagner Porto"
1751;"Michel Fischman"
1752;"Carey Grayson"
1754;"Marco Teubner"
1758;"Rick Holzgrafe"
1759;"Jonathan Pac Cantin"
1764;"Wray Ferrell"
1767;"Nathaniel Levan"
1772;"Bauldric & Friends"
1773;"Justin Gary"
1781;"Eric Barone"
1782;"Simon Havard"
1785;"Peter Burley"
1786;"Anders Tyrland"
1787;"Ricardo Crosa"
1790;"Danilo Sabia"
1791;"Aaron Mesburne"
1792;"Brian Shotton"
1793;"Chris Zinsli"
1794;"Albert Lamorisse"
1796;"Shaun Graham"
1798;"Gianluca Santopietro"
1799;"Alexander Huemer"
1800;"Beau Beckett"
1805;"Rodrigo Sonnesso"
1806;"Wolfgang Sentker"
1807;"David V. H. Peters"
1812;"Tom Russell"
1814;"Gavin Birnbaum"
1816;"Francesco Rotta"
1817;"Erwan Morin"
1819;"Jason Harner"
1820;"Darrell Hardy"
1827;"Ian Moss"
1829;"Flo de Haan"
1830;"Justin De Witt"
1831;"Marcelo Cassaro"
1833;"Satoshi Nakamura"
1838;"Agnieszka Kopera"
1839;"Eros Lin"
1845;"Mark Gerrits"
1846;"David Short"
1847;"Luiz Dal Monte Neto"
1848;"Nicolas Bernard"
1850;"Iori Tsukinami"
1853;"Corné van Moorsel"
1857;"Masayuki Kudou"
1868;"Erik Burigo"
1869;"Jeffrey D. Allers"
1872;"Breaking Games"
1874;"BakaFire"
1881;"Norson Botrel"
1883;"Paul Salomon"
1885;"Carlo Lavezzi"
1888;"Raman Hryhoryk"
1889;"Dan Glimne"
1891;"Patrick Lysaght"
1893;"Jeremiah Lee"
1895;"Jocularis"
1896;"Lucas Machado Rodrigues"
1897;"Alexandre Emerit"
1901;"Scott R. Smith"
1907;"Max Valembois"
1915;"Michael Feldkötter"
1916;"Bill Podurgiel"
1918;"Cyrille Leroy"
1921;"David Chircop"
1928;"Christopher Guild"
1929;"Alex Rockwell"
1931;"Theo K. Mavraganis"
1932;"Guillaume Lémery"
1936;"Mike Fitzgerald"
1940;"Grzegorz Okliński"
1942;"Marie Fort"
1945;"Clark Browning"
1958;"Roberto Pinheiro"
1960;"James Ernest"
1961;"Konstantinos Kokkinis"
1964;"Samuel Strick"
1968;"Whit Alexander"
1973;"Andrea Angiolino"
1975;"Jacques Johan Mogendorff"
1978;"Eric Solomon"
1981;"Kim Satô"
1985;"Andrea Mainini"
1990;"Orlando Sá"
1997;"Gary Arant"
1999;"Nick Metzler"
2005;"Manny Trembley"
2009;"Kristian Fosh"
2014;"Keith Rentz"
2016;"Henri Pym"
2019;"Cédric Lefebvre"
2021;"Robert J. Simpson"
2022;"Stefanie Rohner"
2025;"Alain Orban"
2031;"Alexandar Guerov"
2032;"Richard Keene"
2033;"Daniel Frechiani"
2034;"Christophe Pont"
2035;"Mario Seabra"
2036;"Luiz Gonzaga R. Leite"
2040;"Bill Dixon"
2041;"Chris Borges"
2044;"Alice Carroll"
2049;"Sean D. MacDonald"
2051;"Vince D'Amelio"
2052;"Alexandre Droit"
2053;"Stephen Avery"
2054;"Emanuele Ornella"
2057;"Peter Eggert"
2059;"Paul Abrahams"
2060;"Jeff Siadek"
2063;"Manuel Meireles"
2067;"Filip Głowacz"
2069;"Eduardo Santini"
2073;"Chris Birkenhagen"
2077;"Daniel Aronson"
2079;"Chris Leder"
2090;"Dan Halstad"
2091;"Edmund McMillen"
2092;"Luis Ranedo"
2095;"Pais & Filhos"
2098;"Michael Loth"
2099;"Mafele Promoções"
2102;"Aaron Haag"
2104;"Hans van Tol"
2105;"A. Robert Moog"
2106;"Jota Ferreira"
2108;"Andrea Köhrsen"
2114;"Tim Pinder"
2117;"Stephen Glenn"
2120;"Mark Derrick"
2122;"Johannes Schmidauer-König"
2124;"T. C. Petty III"
2131;"Victor Amanatidis"
2132;"Vincent Vergonjeanne"
2138;"Matt Loomis"
2143;"Lauge Luchau"
2144;"Stefano Groppi"
2146;"Stéphane Vachon"
2148;"Błażej Kubacki"
2151;"Scott A. Mednick"
2154;"Daniel Fehr"
2160;"Guilherme T. Rigolino"
2162;"Darrell Louder"
2164;"Brian Engelstein"
2165;"Stefano Luperto"
2166;"Carlos Nascimento"
2170;"Andrew Looney"
2172;"Bruno Nogueira"
2173;"Przemysław Świerczyński"
2175;"Walter Schneider"
2176;"Ronald Wettering"
2178;"Richard Yaner"
2181;"Ken Dunn"
2184;"Tim Harrison"
2185;"A. J. Porfirio"
2186;"Mikko Punakallio"
2189;"Carol Wiseley"
2190;"Mauro Romeo"
2194;"Guido Albini"
2203;"Andrei Novac"
2206;"Al Newman"
2211;"Eduardo Baraf"
2218;"Piero Cioni"
2220;"Kuraki Mura"
2223;"Keith Meyers"
2226;"Darren Kisgen"
2227;"Blue Orange Games"
2230;"Ludens Spirit"
2237;"Hasbro"
2238;"Andrew Haught"
2240;"Toco Alexandre"
2241;"Nick Bentley"
2242;"Cesare Mainardi"
2252;"Helio Greca"
2255;"Frank Brooks"
2256;"Matthew Austin"
2258;"Daniel de Sant'anna"
2260;"Rita Modl"
2270;"Andrew Federspiel"
2272;"Jon Perry"
2274;"Foxtrot Games"
2275;"Muntsa Corbella"
2277;"Matt Eklund"
2278;"Roberto Tostes"
2281;"Philippe Beaudoin"
2283;"Lukas Zach"
2285;"Lipschitzz"
2286;"Fabrice Vandenbogaerde"
2287;"Monty Stambler"
2289;"James D'Aloisio"
2290;"Ralph Baer"
